"brutto","bruttoMonthly","term","medicare","oldAge","disability","unemployment","solidarityFund","socAll","health","fixedExpenses","nonTaxable","taxBase1","taxBase","incomeTax19","incomeTax25","netto","nettoMonthly"
10000,833.333333333333,12,440,1800,600,200,475,3515,1400,6000,3803.33,0,0,0,0,5085,423.75
10500,875,12,462,1890,630,210,498.75,3690.75,1470,6300,3803.33,0,0,0,0,5339.25,444.9375
11000,916.666666666667,12,484,1980,660,220,522.5,3866.5,1540,6600,3803.33,0,0,0,0,5593.5,466.125
11500,958.333333333333,12,506,2070,690,230,546.25,4042.25,1610,6900,3803.33,0,0,0,0,5847.75,487.3125
12000,1000,12,528,2160,720,240,570,4218,1680,7200,3803.33,0,0,0,0,6102,508.5
12500,1041.66666666667,12,550,2250,750,250,593.75,4393.75,1750,7500,3803.33,0,0,0,0,6356.25,529.6875
13000,1083.33333333333,12,572,2340,780,260,617.5,4569.5,1820,7800,3803.33,0,0,0,0,6610.5,550.875
13500,1125,12,594,2430,810,270,641.25,4745.25,1890,8100,3803.33,0,0,0,0,6864.75,572.0625
14000,1166.66666666667,12,616,2520,840,280,665,4921,1960,8400,3803.33,0,0,0,0,7119,593.25
14500,1208.33333333333,12,638,2610,870,290,688.75,5096.75,2030,8700,3803.33,0,0,0,0,7373.25,614.4375
15000,1250,12,660,2700,900,300,712.5,5272.5,2100,9000,3803.33,0,0,0,0,7627.5,635.625
15500,1291.66666666667,12,682,2790,930,310,736.25,5448.25,2170,9300,3803.33,0,0,0,0,7881.75,656.8125
16000,1333.33333333333,12,704,2880,960,320,760,5624,2240,9600,3803.33,0,0,0,0,8136,678
16500,1375,12,726,2970,990,330,783.75,5799.75,2310,9900,3803.33,0,0,0,0,8390.25,699.1875
17000,1416.66666666667,12,748,3060,1020,340,807.5,5975.5,2380,10200,3803.33,0,0,0,0,8644.5,720.375
17500,1458.33333333333,12,770,3150,1050,350,831.25,6151.25,2450,10500,3803.33,0,0,0,0,8898.75,741.5625
18000,1500,12,792,3240,1080,360,855,6327,2520,10800,3803.33,0,0,0,0,9153,762.75
18500,1541.66666666667,12,814,3330,1110,370,878.75,6502.75,2590,11100,3803.33,0,0,0,0,9407.25,783.9375
